file	side	kappa
02_std/fused_labels/ADNI_007_S_0041_MR_MPR__GradWarp__B1_Correction__N3__Scaled_2_Br_20081001114650361_S9994_I118672	right	0.5792746114
02_std/fused_labels/ADNI_006_S_0681_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20080224150248153_S18451_I92305	right	0.6541387025
02_std/fused_labels/ADNI_007_S_0068_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070110221450692_S10356_I35790	right	0.6288014311
02_std/fused_labels/ADNI_005_S_1341_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070717180348670_S27673_I60417	right	0.6508577195
02_std/fused_labels/ADNI_007_S_0070_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070118043705519_S10950_I36628	right	0.5335008375
02_std/fused_labels/ADNI_005_S_0602_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20061212103139908_S15966_I32672	right	0.6349344978
02_std/fused_labels/ADNI_005_S_0546_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20061212105236975_S15566_I32681	right	0.6447480786
02_std/fused_labels/ADNI_005_S_0610_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20061212102204007_S15727_I32667	right	0.5912573231
02_std/fused_labels/ADNI_005_S_0814_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070923123111793_S18390_I74591	right	0.5205479452
02_std/fused_labels/ADNI_006_S_0653_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070605122642054_S23255_I55948	right	0.4268406337
02_std/fused_labels/ADNI_005_S_0929_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070923124929945_S19669_I74609	right	0.4423578508
02_std/fused_labels/ADNI_007_S_0101_MR_MPR__GradWarp__B1_Correction__N3__Scaled_2_Br_20081001115524983_S10679_I118681	right	0.664799253
02_std/fused_labels/ADNI_007_S_0128_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070118045422141_S10936_I36640	right	0.5757432751
02_std/fused_labels/ADNI_006_S_0731_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20080220094836683_S18321_I90848	right	0.6116996776
02_std/fused_labels/ADNI_007_S_0249_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070118015240816_S11911_I36530	right	0.551576697
02_std/fused_labels/ADNI_007_S_0316_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_2_Br_20081001120625745_S12583_I118693	right	0.6265182186
02_std/fused_labels/ADNI_007_S_0070_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_2_Br_20081001115943531_S10950_I118686	right	0.5968894493
02_std/fused_labels/ADNI_007_S_0041_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070110204215685_S9994_I35734	right	0.5473574045
02_std/fused_labels/ADNI_006_S_0675_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070813140709161_S18432_I67341	right	0.6066734075
02_std/fused_labels/ADNI_007_S_0316_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070118030943701_S12583_I36573	right	0.5832911392
02_std/fused_labels/ADNI_007_S_0344_MR_MPR__GradWarp__B1_Correction__N3__Scaled_2_Br_20081001120904810_S12631_I118696	right	0.5988888889
02_std/fused_labels/ADNI_006_S_1130_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070605124018633_S23457_I55972	right	0.6484498161
02_std/fused_labels/ADNI_007_S_0068_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_2_Br_20081001115126961_S10356_I118677	right	0.5107526882
02_std/fused_labels/ADNI_007_S_0698_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070118041435818_S16403_I36613	right	0.4968210718
02_std/fused_labels/ADNI_007_S_0344_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070118032000976_S12631_I36579	right	0.6153846154
02_std/fused_labels/ADNI_007_S_0101_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070118231627932_S10679_I36726	right	0.5442684063
02_std/fused_labels/ADNI_007_S_1339_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070607134807952_S27414_I56319	right	0.568442011
02_std/fused_labels/ADNI_007_S_1222_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070713120847216_S25402_I60003	right	0.5330049261
02_std/fused_labels/ADNI_007_S_0414_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070118035313135_S14826_I36599	right	0.4530635188
02_std/fused_labels/ADNI_007_S_0414_MR_MPR__GradWarp__B1_Correction__N3__Scaled_2_Br_20081001121055087_S14826_I118698	right	0.5283446712
02_std/fused_labels/ADNI_007_S_0128_MR_MPR__GradWarp__B1_Correction__N3__Scaled_2_Br_20081001115704885_S10936_I118683	right	0.3747645951
02_std/fused_labels/ADNI_009_S_1030_MR_MPR__GradWarp__N3__Scaled_Br_20070517121250972_S21823_I54651	right	0.6669542709
02_std/fused_labels/ADNI_007_S_0293_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070118022549519_S12193_I36549	right	0.6080424216
02_std/fused_labels/ADNI_010_S_0067_MR_MPR____N3__Scaled_2_Br_20081001114835460_S10344_I118674	right	0.5593295104
02_std/fused_labels/ADNI_007_S_0249_MR_MPR__GradWarp__B1_Correction__N3__Scaled_2_Br_20081001120039197_S11911_I118687	right	0.595314164
02_std/fused_labels/ADNI_009_S_1354_MR_MPR__GradWarp__N3__Scaled_Br_20070717183309825_S27634_I60443	right	0.5223967423
02_std/fused_labels/ADNI_007_S_0293_MR_MPR__GradWarp__B1_Correction__N3__Scaled_2_Br_20081001120327735_S12193_I118690	right	0.5284370802
02_std/fused_labels/ADNI_009_S_1334_MR_MPR-R__GradWarp__N3__Scaled_Br_20070717182244238_S27423_I60434	right	0.5691588785
02_std/fused_labels/ADNI_009_S_0751_MR_MPR__GradWarp__N3__Scaled_Br_20080408151939286_S17487_I101528	right	0.5257687311
02_std/fused_labels/ADNI_007_S_1206_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070713115137903_S25173_I59981	right	0.4560344828
02_std/fused_labels/ADNI_009_S_0862_MR_MPR__GradWarp__N3__Scaled_Br_20081016092132040_S19358_I121228	right	0.6352052855
02_std/fused_labels/ADNI_007_S_1304_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070713111105724_S26475_I59910	right	0.5534465534
02_std/fused_labels/ADNI_009_S_1199_MR_MPR-R__GradWarp__N3__Scaled_Br_20070501175234132_S25147_I52836	right	0.4780487805
02_std/fused_labels/ADNI_010_S_0420_MR_MPR____N3__Scaled_2_Br_20081002113708512_S15582_I119024	right	0.2373037858
02_std/fused_labels/ADNI_010_S_0067_MR_MPR____N3__Scaled_Br_20080308121553394_S10344_I96211	right	0.6370435548
02_std/fused_labels/ADNI_010_S_0420_MR_MPR____N3__Scaled_Br_20070807151957863_S15582_I65580	right	0.2198905109
02_std/fused_labels/ADNI_009_S_0842_MR_MPR__GradWarp__N3__Scaled_Br_20080206154637186_S18870_I89575	right	0.6056458512
02_std/fused_labels/ADNI_007_S_0698_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_2_Br_20081002114239974_S16403_I119030	right	0.4779990736
02_std/fused_labels/ADNI_010_S_0422_MR_MPR____N3__Scaled_2_Br_20081001122053070_S23188_I118703	right	0.5724670604
02_std/fused_labels/ADNI_010_S_0786_MR_MPR____N3__Scaled_2_Br_20081002102855696_S19638_I118990	right	0.5959941378
02_std/fused_labels/ADNI_010_S_0472_MR_MPR____N3__Scaled_2_Br_20081001121947466_S22912_I118702	right	0.6554621849
02_std/fused_labels/ADNI_007_S_1248_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070713113209876_S25568_I59950	right	0.536345776
02_std/fused_labels/ADNI_010_S_0419_MR_MPR____N3__Scaled_Br_20070731160454622_S14544_I63320	right	0.6325757576
02_std/fused_labels/ADNI_010_S_0472_MR_MPR____N3__Scaled_Br_20070727181627156_S22912_I62630	right	0.6760037348
02_std/fused_labels/ADNI_010_S_0786_MR_MPR____N3__Scaled_Br_20070807153633938_S19638_I65597	right	0.5428156749
02_std/fused_labels/ADNI_011_S_0005_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20061208112603927_S9136_I32246	right	0.5221402214
02_std/fused_labels/ADNI_010_S_0161_MR_MPR-R____N3__Scaled_2_Br_20081001114455172_S10981_I118670	right	0.6913357401
02_std/fused_labels/ADNI_010_S_0161_MR_MPR-R____N3__Scaled_Br_20080225190221511_S10981_I92666	right	0.6740773677
02_std/fused_labels/ADNI_010_S_0904_MR_MPR____N3__Scaled_Br_20070731163807463_S23759_I63357	right	0.6197654941
02_std/fused_labels/ADNI_010_S_0419_MR_MPR____N3__Scaled_2_Br_20081001121839426_S14544_I118701	right	0.6891211769
02_std/fused_labels/ADNI_011_S_0053_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070108231357675_S10064_I35486	right	0.5153538051
02_std/fused_labels/ADNI_011_S_0168_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070108232555158_S11605_I35499	right	0.4966442953
02_std/fused_labels/ADNI_011_S_0183_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20061206183315171_S12000_I32003	right	0.6524962926
02_std/fused_labels/ADNI_011_S_0003_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20061208111300610_S9127_I32237	right	0.5979473449
02_std/fused_labels/ADNI_011_S_0008_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20061208113853608_S9195_I32264	right	0.5963756178
02_std/fused_labels/ADNI_010_S_0422_MR_MPR____N3__Scaled_Br_20070731162014912_S23188_I63332	right	0.6767676768
02_std/fused_labels/ADNI_010_S_0829_MR_MPR____N3__Scaled_2_Br_20081001122514861_S26117_I118707	right	0.5885714286
02_std/fused_labels/ADNI_010_S_0829_MR_MPR____N3__Scaled_Br_20070731163202385_S26117_I63349	right	0.4977272727
02_std/fused_labels/ADNI_011_S_0022_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20061208150933591_S9617_I32389	right	0.5215024496
