file	side	kappa
02_std/fused_labels/ADNI_006_S_0547_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070926110116880_S19779_I75279	left	0.5823788546
02_std/fused_labels/ADNI_006_S_0484_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070807145113693_S18837_I65566	left	0.6147798742
02_std/fused_labels/ADNI_005_S_0546_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20061212105236975_S15566_I32681	left	0.4426814756
02_std/fused_labels/ADNI_005_S_1341_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070717180348670_S27673_I60417	left	0.5687894993
02_std/fused_labels/ADNI_006_S_0681_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20080224150248153_S18451_I92305	left	0.5656652361
02_std/fused_labels/ADNI_005_S_0572_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20061212100241670_S15709_I32653	left	0.4943473792
02_std/fused_labels/ADNI_007_S_0068_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_2_Br_20081001115126961_S10356_I118677	left	0.4642233857
02_std/fused_labels/ADNI_005_S_1224_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070717175330338_S25412_I60406	left	0.4250440917
02_std/fused_labels/ADNI_007_S_0041_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070110204215685_S9994_I35734	left	0.6264571718
02_std/fused_labels/ADNI_007_S_0068_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070110221450692_S10356_I35790	left	0.6213592233
02_std/fused_labels/ADNI_007_S_0041_MR_MPR__GradWarp__B1_Correction__N3__Scaled_2_Br_20081001114650361_S9994_I118672	left	0.5836263184
02_std/fused_labels/ADNI_005_S_0929_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070923124929945_S19669_I74609	left	0.6031746032
02_std/fused_labels/ADNI_006_S_0731_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20080220094836683_S18321_I90848	left	0.6115631692
02_std/fused_labels/ADNI_006_S_1130_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070605124018633_S23457_I55972	left	0.681193747
02_std/fused_labels/ADNI_006_S_0653_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070605122642054_S23255_I55948	left	0.4213333333
02_std/fused_labels/ADNI_007_S_0101_MR_MPR__GradWarp__B1_Correction__N3__Scaled_2_Br_20081001115524983_S10679_I118681	left	0.6761744966
02_std/fused_labels/ADNI_007_S_0316_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070118030943701_S12583_I36573	left	0.6854415274
02_std/fused_labels/ADNI_007_S_0316_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_2_Br_20081001120625745_S12583_I118693	left	0.6030569708
02_std/fused_labels/ADNI_007_S_0128_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070118045422141_S10936_I36640	left	0.4708133971
02_std/fused_labels/ADNI_007_S_0070_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_2_Br_20081001115943531_S10950_I118686	left	0.5430726479
02_std/fused_labels/ADNI_007_S_0249_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070118015240816_S11911_I36530	left	0.6480938416
02_std/fused_labels/ADNI_007_S_0128_MR_MPR__GradWarp__B1_Correction__N3__Scaled_2_Br_20081001115704885_S10936_I118683	left	0.6180422265
02_std/fused_labels/ADNI_007_S_0293_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070118022549519_S12193_I36549	left	0.5402597403
02_std/fused_labels/ADNI_007_S_0101_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070118231627932_S10679_I36726	left	0.7148194271
02_std/fused_labels/ADNI_007_S_0344_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070118032000976_S12631_I36579	left	0.5599162742
02_std/fused_labels/ADNI_007_S_0414_MR_MPR__GradWarp__B1_Correction__N3__Scaled_2_Br_20081001121055087_S14826_I118698	left	0.6162610047
02_std/fused_labels/ADNI_007_S_0249_MR_MPR__GradWarp__B1_Correction__N3__Scaled_2_Br_20081001120039197_S11911_I118687	left	0.5969711773
02_std/fused_labels/ADNI_007_S_0070_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070118043705519_S10950_I36628	left	0.7003205128
